50 1177
7 47 100.1
7 48 100.1
7 49 100.1
8 9 8
8 10 100.1
8 11 100.1
8 12 100.1
8 13 100.1
8 14 100.1
8 15 100.1
8 16 100.1
8 17 100.1
8 18 100.1
8 19 100.1
8 20 100.1
8 21 100.1
8 22 100.1
8 23 100.1
8 24 100.1
8 25 100.1
8 26 100.1
8 27 100.1
8 28 100.1
8 29 100.1
8 30 100.1
8 31 100.1
8 32 100.1
8 33 100.1
8 34 100.1
8 35 100.1
8 36 100.1
8 37 100.1
8 38 100.1
8 39 100.1
8 40 100.1
8 41 100.1
8 42 100.1
8 43 100.1
8 44 100.1
8 45 100.1
8 46 100.1
8 47 100.1
8 48 100.1
8 49 100.1
9 10 9
9 11 100.1
9 12 100.1
9 13 100.1
9 14 100.1
9 15 100.1
9 16 100.1
9 17 100.1
9 18 100.1
9 19 100.1
9 20 100.1
9 21 100.1
9 22 100.1
9 23 100.1
9 24 100.1
9 25 100.1
9 26 100.1
9 27 100.1
9 28 100.1
9 29 100.1
9 30 100.1
9 31 100.1
9 32 100.1
9 33 100.1
9 34 100.1
9 35 100.1
9 36 100.1
9 37 100.1
9 38 100.1
9 39 100.1
9 40 100.1
9 41 100.1
9 42 100.1
9 43 100.1
9 44 100.1
9 45 100.1
9 46 100.1
9 47 100.1
9 48 100.1
9 49 100.1
10 11 10
10 12 100.1
10 13 100.1
10 14 100.1
10 15 100.1
10 16 100.1
10 17 100.1
10 18 100.1
10 19 100.1
10 20 100.1
10 21 100.1
10 22 100.1
10 23 100.1
10 24 100.1
10 25 100.1
10 26 100.1
10 27 100.1
10 28 100.1
10 29 100.1
10 30 100.1
10 31 100.1
10 32 100.1
10 33 100.1
10 34 100.1
10 35 100.1
10 36 100.1
10 37 100.1
10 38 100.1
10 39 100.1
10 40 100.1
10 41 100.1
10 42 100.1
10 43 100.1
10 44 100.1
10 45 100.1
10 46 100.1
10 47 100.1
10 48 100.1
10 49 100.1
11 12 11
11 13 100.1
11 14 100.1
11 15 100.1
11 16 100.1
11 17 100.1
11 18 100.1
11 19 100.1
11 20 100.1
11 21 100.1
11 22 100.1
11 23 100.1
11 24 100.1
11 25 100.1
11 26 100.1
11 27 100.1
11 28 100.1
11 29 100.1
11 30 100.1
11 31 100.1
11 32 100.1
11 33 100.1
11 34 100.1
11 35 100.1
11 36 100.1
11 37 100.1
11 38 100.1
11 39 100.1
11 40 100.1
11 41 100.1
11 42 100.1
11 43 100.1
11 44 100.1
11 45 100.1
11 46 100.1
11 47 100.1
11 48 100.1
11 49 100.1
12 13 12
12 14 100.1
12 15 100.1
12 16 100.1
12 17 100.1
12 18 100.1
12 19 100.1
12 20 100.1
12 21 100.1
12 22 100.1
12 23 100.1
12 24 100.1
12 25 100.1
12 26 100.1
12 27 100.1
12 28 100.1
12 29 100.1
12 30 100.1
12 31 100.1
12 32 100.1
12 33 100.1
12 34 100.1
12 35 100.1
12 36 100.1
12 37 100.1
12 38 100.1
12 39 100.1
12 40 100.1
12 41 100.1
12 42 100.1
12 43 100.1
12 44 100.1
12 45 100.1
12 46 100.1
12 47 100.1
12 48 100.1
12 49 100.1
13 14 13
13 15 100.1
13 16 100.1
13 17 100.1
13 18 100.1
13 19 100.1
13 20 100.1
13 21 100.1
13 22 100.1
13 23 100.1
13 24 100.1
13 25 100.1
13 26 100.1
13 27 100.1
13 28 100.1
13 29 100.1
13 30 100.1
13 31 100.1
13 32 100.1
13 33 100.1
13 34 100.1
13 35 100.1
13 36 100.1
13 37 100.1
13 38 100.1
13 39 100.1
13 40 100.1
13 41 100.1
13 42 100.1
13 43 100.1
13 44 100.1
13 45 100.1
13 46 100.1
13 47 100.1
13 48 100.1
13 49 100.1
14 15 14
14 16 100.1
14 17 100.1
14 18 100.1
14 19 100.1
14 20 100.1
14 21 100.1
14 22 100.1
14 23 100.1
14 24 100.1
14 25 100.1
14 26 100.1
14 27 100.1
14 28 100.1
14 29 100.1
14 30 100.1
14 31 100.1
14 32 100.1
14 33 100.1
14 34 100.1
14 35 100.1
14 36 100.1
14 37 100.1
14 38 100.1
14 39 100.1
14 40 100.1
14 41 100.1
14 42 100.1
14 43 100.1
14 44 100.1
14 45 100.1
14 46 100.1
14 47 100.1
14 48 100.1
14 49 100.1
15 16 15
15 17 100.1
15 18 100.1
15 19 100.1
15 20 100.1
15 21 100.1
15 22 100.1
15 23 100.1
15 24 100.1
15 25 100.1
15 26 100.1
15 27 100.1
15 28 100.1
15 29 100.1
15 30 100.1
15 31 100.1
15 32 100.1
15 33 100.1
15 34 100.1
15 35 100.1
15 36 100.1
15 37 100.1
15 38 100.1
15 39 100.1
15 40 100.1
15 41 100.1
15 42 100.1
15 43 100.1
15 44 100.1
15 45 100.1
15 46 100.1
15 47 100.1
15 48 100.1
15 49 100.1
16 17 16
16 18 100.1
16 19 100.1
16 20 100.1
16 21 100.1
16 22 100.1
16 23 100.1
16 24 100.1
16 25 100.1
16 26 100.1
16 27 100.1
16 28 100.1
16 29 100.1
16 30 100.1
16 31 100.1
16 32 100.1
16 33 100.1
16 34 100.1
16 35 100.1
16 36 100.1
16 37 100.1
16 38 100.1
16 39 100.1
16 40 100.1
16 41 100.1
16 42 100.1
16 43 100.1
16 44 100.1
16 45 100.1
16 46 100.1
16 47 100.1
16 48 100.1
16 49 100.1
17 18 17
17 19 100.1
17 20 100.1
17 21 100.1
17 22 100.1
17 23 100.1
17 24 100.1
17 25 100.1
17 26 100.1
17 27 100.1
17 28 100.1
17 29 100.1
17 30 100.1
17 31 100.1
17 32 100.1
17 33 100.1
17 34 100.1
17 35 100.1
17 36 100.1
17 37 100.1
17 38 100.1
17 39 100.1
17 40 100.1
17 41 100.1
17 42 100.1
17 43 100.1
17 44 100.1
17 45 100.1
17 46 100.1
17 47 100.1
17 48 100.1
17 49 100.1
18 19 18
18 20 100.1
18 21 100.1
18 22 100.1
18 23 100.1
18 24 100.1
18 25 100.1
18 26 100.1
18 27 100.1
18 28 100.1
18 29 100.1
18 30 100.1
18 31 100.1
18 32 100.1
18 33 100.1
18 34 100.1
18 35 100.1
18 36 100.1
18 37 100.1
18 38 100.1
18 39 100.1
18 40 100.1
18 41 100.1
18 42 100.1
18 43 100.1
18 44 100.1
18 45 100.1
18 46 100.1
18 47 100.1
18 48 100.1
18 49 100.1
19 20 19
19 21 100.1
19 22 100.1
19 23 100.1
19 24 100.1
19 25 100.1
19 26 100.1
19 27 100.1
19 28 100.1
19 29 100.1
19 30 100.1
19 31 100.1
19 32 100.1
19 33 100.1
19 34 100.1
19 35 100.1
19 36 100.1
19 37 100.1
19 38 100.1
19 39 100.1
19 40 100.1
19 41 100.1
19 42 100.1
19 43 100.1
19 44 100.1
19 45 100.1
19 46 100.1
19 47 100.1
19 48 100.1
19 49 100.1
20 21 20
20 22 100.1
20 23 100.1
20 24 100.1
20 25 100.1
20 26 100.1
20 27 100.1
20 28 100.1
20 29 100.1
20 30 100.1
20 31 100.1
20 32 100.1
20 33 100.1
20 34 100.1
20 35 100.1
20 36 100.1
20 37 100.1
20 38 100.1
20 39 100.1
20 40 100.1
20 41 100.1
20 42 100.1
20 43 100.1
20 44 100.1
20 45 100.1
20 46 100.1
20 47 100.1
20 48 100.1
20 49 100.1
21 22 21
21 23 100.1
21 24 100.1
21 25 100.1
21 26 100.1
21 27 100.1
21 28 100.1
21 29 100.1
21 30 100.1
21 31 100.1
21 32 100.1
21 33 100.1
21 34 100.1
21 35 100.1
21 36 100.1
21 37 100.1
21 38 100.1
21 39 100.1
21 40 100.1
21 41 100.1
21 42 100.1
21 43 100.1
21 44 100.1
21 45 100.1
21 46 100.1
21 47 100.1
21 48 100.1
21 49 100.1
22 23 22
22 24 100.1
22 25 100.1
22 26 100.1
22 27 100.1
22 28 100.1
22 29 100.1
22 30 100.1
22 31 100.1
22 32 100.1
22 33 100.1
22 34 100.1
22 35 100.1
22 36 100.1
22 37 100.1
22 38 100.1
22 39 100.1
22 40 100.1
22 41 100.1
22 42 100.1
22 43 100.1
22 44 100.1
22 45 100.1
22 46 100.1
22 47 100.1
22 48 100.1
22 49 100.1
23 24 23
23 25 100.1
23 26 100.1
23 27 100.1
23 28 100.1
23 29 100.1
23 30 100.1
23 31 100.1
23 32 100.1
23 33 100.1
23 34 100.1
23 35 100.1
23 36 100.1
23 37 100.1
23 38 100.1
23 39 100.1
23 40 100.1
23 41 100.1
23 42 100.1
23 43 100.1
23 44 100.1
23 45 100.1
23 46 100.1
23 47 100.1
23 48 100.1
23 49 100.1
24 25 24
24 26 100.1
24 27 100.1
24 28 100.1
24 29 100.1
24 30 100.1
24 31 100.1
24 32 100.1
24 33 100.1
24 34 100.1
24 35 100.1
24 36 100.1
24 37 100.1
24 38 100.1
24 39 100.1
24 40 100.1
24 41 100.1
24 42 100.1
24 43 100.1
24 44 100.1
24 45 100.1
24 46 100.1
24 47 100.1
24 48 100.1
24 49 100.1
25 26 25
25 27 100.1
25 28 100.1
25 29 100.1
25 30 100.1
25 31 100.1
25 32 100.1
25 33 100.1
25 34 100.1
25 35 100.1
25 36 100.1
25 37 100.1
25 38 100.1
25 39 100.1
25 40 100.1
25 41 100.1
25 42 100.1
25 43 100.1
25 44 100.1
25 45 100.1
25 46 100.1
25 47 100.1
25 48 100.1
25 49 100.1
26 27 26
26 28 100.1
26 29 100.1
26 30 100.1
26 31 100.1
26 32 100.1
26 33 100.1
26 34 100.1
26 35 100.1
26 36 100.1
26 37 100.1
26 38 100.1
26 39 100.1
26 40 100.1
26 41 100.1
26 42 100.1
26 43 100.1
26 44 100.1
26 45 100.1
26 46 100.1
26 47 100.1
26 48 100.1
26 49 100.1
27 28 27
27 29 100.1
27 30 100.1
27 31 100.1
27 32 100.1
27 33 100.1
27 34 100.1
27 35 100.1
27 36 100.1
27 37 100.1
27 38 100.1
27 39 100.1
27 40 100.1
27 41 100.1
27 42 100.1
27 43 100.1
27 44 100.1
27 45 100.1
27 46 100.1
27 47 100.1
27 48 100.1
27 49 100.1
28 29 28
28 30 100.1
28 31 100.1
28 32 100.1
28 33 100.1
28 34 100.1
28 35 100.1
28 36 100.1
28 37 100.1
28 38 100.1
28 39 100.1
28 40 100.1
28 41 100.1
28 42 100.1
28 43 100.1
28 44 100.1
28 45 100.1
28 46 100.1
28 47 100.1
28 48 100.1
28 49 100.1
29 30 29
29 31 100.1
29 32 100.1
29 33 100.1
29 34 100.1
29 35 100.1
29 36 100.1
29 37 100.1
29 38 100.1
29 39 100.1
29 40 100.1
29 41 100.1
29 42 100.1
29 43 100.1
29 44 100.1
29 45 100.1
29 46 100.1
29 47 100.1
29 48 100.1
29 49 100.1
30 31 30
30 32 100.1
30 33 100.1
30 34 100.1
30 35 100.1
30 36 100.1
30 37 100.1
30 38 100.1
30 39 100.1
30 40 100.1
30 41 100.1
30 42 100.1
30 43 100.1
30 44 100.1
30 45 100.1
30 46 100.1
30 47 100.1
30 48 100.1
30 49 100.1
31 32 31
31 33 100.1
31 34 100.1
31 35 100.1
31 36 100.1
31 37 100.1
31 38 100.1
31 39 100.1
31 40 100.1
31 41 100.1
31 42 100.1
31 43 100.1
31 44 100.1
31 45 100.1
31 46 100.1
31 47 100.1
31 48 100.1
31 49 100.1
32 33 32
32 34 100.1
32 35 100.1
32 36 100.1
32 37 100.1
32 38 100.1
32 39 100.1
32 40 100.1
32 41 100.1
32 42 100.1
32 43 100.1
32 44 100.1
32 45 100.1
32 46 100.1
32 47 100.1
32 48 100.1
32 49 100.1
33 34 33
33 35 100.1
33 36 100.1
33 37 100.1
33 38 100.1
33 39 100.1
33 40 100.1
33 41 100.1
33 42 100.1
33 43 100.1
33 44 100.1
33 45 100.1
33 46 100.1
33 47 100.1
33 48 100.1
33 49 100.1
34 35 34
34 36 100.1
34 37 100.1
34 38 100.1
34 39 100.1
34 40 100.1
34 41 100.1
34 42 100.1
34 43 100.1
34 44 100.1
34 45 100.1
34 46 100.1
34 47 100.1
34 48 100.1
34 49 100.1
35 36 35
35 37 100.1
35 38 100.1
35 39 100.1
35 40 100.1
35 41 100.1
35 42 100.1
35 43 100.1
35 44 100.1
35 45 100.1
35 46 100.1
35 47 100.1
35 48 100.1
35 49 100.1
36 37 36
36 38 100.1
36 39 100.1
36 40 100.1
36 41 100.1
36 42 100.1
36 43 100.1
36 44 100.1
36 45 100.1
36 46 100.1
36 47 100.1
36 48 100.1
36 49 100.1
37 38 37
37 39 100.1
37 40 100.1
37 41 100.1
37 42 100.1
37 43 100.1
37 44 100.1
37 45 100.1
37 46 100.1
37 47 100.1
37 48 100.1
37 49 100.1
38 39 38
38 40 100.1
38 41 100.1
38 42 100.1
38 43 100.1
38 44 100.1
38 45 100.1
38 46 100.1
38 47 100.1
38 48 100.1
38 49 100.1
39 40 39
39 41 100.1
39 42 100.1
39 43 100.1
39 44 100.1
39 45 100.1
39 46 100.1
39 47 100.1
39 48 100.1
39 49 100.1
40 41 40
40 42 100.1
40 43 100.1
40 44 100.1
40 45 100.1
40 46 100.1
40 47 100.1
40 48 100.1
40 49 100.1
41 42 41
41 43 100.1
41 44 100.1
41 45 100.1
41 46 100.1
41 47 100.1
41 48 100.1
41 49 100.1
42 43 42
42 44 100.1
42 45 100.1
42 46 100.1
42 47 100.1
42 48 100.1
42 49 100.1
43 44 43
43 45 100.1
43 46 100.1
43 47 100.1
43 48 100.1
43 49 100.1
44 45 44
44 46 100.1
44 47 100.1
44 48 100.1
44 49 100.1
45 46 45
45 47 100.1
45 48 100.1
45 49 100.1
46 47 46
46 48 100.1
46 49 100.1
47 48 47
47 49 100.1
48 49 48
49 50 203.2
4
1 50 400
1 50 8.7
4 8 9.1
4 9 7.5
